fee_valid_from,regis_id,fund_name_th,fund_abbr_name,fund_class_id,comp_thai_name_rep,dividend_policy,fee_TT,fee_OF,fee_SP,fee_FR,fee_IA,fee_UW,fee_EO,fee_FF,fee_BF,fee_SI,fee_SO,fee_TF,unit_TF,fee_CF,fee_OT,fee_TT_actual,fee_OF_actual,fee_SP_actual,fee_FR_actual,fee_IA_actual,fee_UW_actual,fee_EO_actual,fee_FF_actual,fee_BF_actual,fee_SI_actual,fee_SO_actual,fee_TF_actual,unit_actual_TF,fee_CF_actual,fee_OT_actual,url
31/12/2020,018/2540,กองทุนเปิดสินภิญโญห้า,SF5,-,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),ไม่จ่าย,2.215,0.963,0.075,0.107,ไม่มี,ไม่มี,1.07,1,1,ไม่มี,ไม่มี,ตามที่นายทะเบียนเรียกเก็บ,,,,1.14,0.963,0.02,0.107,0,0,0.05,0.5,ยกเว้นค่าธรรมเนียม,ไม่มี,ไม่มี,50 บาท/รายการ,,,,http://market.sec.or.th/public/idisc/th/Download/fund/SF5
31/12/2020,006/2540,กองทุนเปิดสินภิญโญสี่,SF4,-,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),จ่าย,2.868,1.605,0.086,0.107,ไม่มี,ไม่มี,1.07,1,1,ไม่มี,ไม่มี,ตามที่นายทะเบียนเรียกเก็บ,,,,1.86,1.61,0.02,0.107,0,0,0.12,0.5,ไม่เก็บ,ไม่มี,ไม่มี,ตามที่นายทะเบียนเรียกเก็บ,,,,http://market.sec.or.th/public/idisc/th/Download/fund/SF4
31/12/2020,023/2542,กองทุนเปิดธนภูมิ,TNP,-,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),ไม่จ่าย,2.226,0.963,0.086,0.107,ไม่มี,ไม่มี,1.07,1,1,ไม่มี,ไม่มี,ตามที่นายทะเบียนเรียกเก็บ,,,,1.17,0.96,0.05,0.107,0,0,0.05,0.5,ยกเว้นค่าธรรมเนียม,ไม่มี,ไม่มี,50 บาท/รายการ,,,,http://market.sec.or.th/public/idisc/th/Download/fund/TNP
31/12/2020,032/2544,ไทยไพรมฟันด์,TPF,-,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),จ่าย,1.89,0.695,0.046,0.08,ไม่มี,ไม่มี,1.07,ไม่มี,ไม่มี,,,ไม่มี,,ตามที่นายทะเบียนเรียกเก็บ,ตามที่จ่ายจริง,1.3398,0.6955,0.046,0,0,0,0.5945,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,,ไม่มี,ไม่มี,http://market.sec.or.th/public/idisc/th/Download/fund/TPF
31/12/2020,008/2538,กองทุนเปิดทรัพย์อนันต์,SAN,-,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),จ่าย,2.33,1.07,0.0856,0.107,ไม่มี,ไม่มี,1.07,1,1,ไม่มี,ไม่มี,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,ตามที่จ่ายจริง,1.32,1.07,0.05,0.107,0,0,0.09,0.5,ยกเว้นค่าธรรมเนียม,ไม่มี,ไม่มี,50 บาท/รายการ,,ตามที่นายทะเบียนเรียกเก็บ,ตามที่จ่ายจริง,http://market.sec.or.th/public/idisc/th/Download/fund/SAN
31/12/2020,026/2543,กองทุนเปิดร่วมพัฒนาสอง,RPF2,-,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),จ่าย,2.21,0.963,0.0669,0.107,ไม่มี,ไม่มี,1.07,1,1,ไม่มี,ไม่มี,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,ตามที่จ่ายจริง,1.18,0.963,0.05,0.107,0,0,0.06,0.5,ยกเว้นค่าธรรมเนียม,ไม่มี,ไม่มี,50 บาท/รายการ,,ตามที่นายทะเบียนเรียกเก็บ,ตามที่จ่ายจริง,http://market.sec.or.th/public/idisc/th/Download/fund/RPF2
4/1/2021,004/2535,กองทุนเปิด ทิสโก้ หุ้นทุนไทย,TISCOEQF,-,บริษัทหลักทรัพย์จัดการกองทุน ทิสโก้,จ่าย,2.675,1.605,0.06955,0.154615,ไม่มี,ไม่มี,0.8458,5,,,,30,บาทต่อหน่วยลงทุน 10000.00 หน่วยหรือเศษของ 10000.00 หน่วย,50,,2.156,1.605,0.04815,0.162319,ไม่มี,ไม่มี,0.3482,1,ไม่มี,ไม่มี,ไม่มี,ปัจจุบันไม่เรียกเก็บ,ปัจจุบันไม่เรียกเก็บ,50,,http://market.sec.or.th/public/idisc/th/Download/fund/TISCOEQF
4/1/2021,018/2535,กองทุนเปิด ทิสโก้ ทวีทุน,TISCOEGF,-,บริษัทหลักทรัพย์จัดการกองทุน ทิสโก้,ไม่จ่าย,2.675,1.605,0.06955,0.154615,ไม่มี,ไม่มี,0.8531,5,,,,30,บาทต่อหน่วยลงทุน 10000.00 หน่วยหรือเศษของ 10000.00 หน่วย,50,,1.815,1.605,0.04815,0.162319,ไม่มี,ไม่มี,0.013,1,ไม่มี,ไม่มี,ไม่มี,ปัจจุบันไม่เรียกเก็บ,,50.00 บาท,,http://market.sec.or.th/public/idisc/th/Download/fund/TISCOEGF
31/12/2020,019/2535,กองทุนเปิดธนชาตเสถียรทรัพย์ปันผล,T-STSD,-,บริษัทหลักทรัพย์จัดการกองทุน ธนชาต จำกัด,จ่าย,2.949,1.18,0.075,0.161,ไม่มี,ไม่มี,1.07,1.07,1.07,1.07,1.07,53.5,บาทต่อหน่วยลงทุน 1000.00 หน่วยหรือเศษของ 1000.00 หน่วย,ไม่มี,,1.562,1.179,0.023,0.161,,,0.211,1.07,ยกเว้น,ยกเว้น,ยกเว้น,,,ตามที่นายทะเบียนเรียกเก็บ,,http://market.sec.or.th/public/idisc/th/Download/fund/T-STSD
20/1/2021,005/2535,กองทุนเปิดเอกทวีคูณ,ONE-G,-,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,ไม่จ่าย,6.42,2.126,0.1284,0.138,ไม่มี,ไม่มี,4.0276,2,1,2,1,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,ตามที่จ่ายจริง,2.29292,2.126,0.0321,0.13482,,,ตามทีจ่ายจริง,1,0,1,0,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,ตามที่จ่ายจริง,http://market.sec.or.th/public/idisc/th/Download/fund/ONE-G
31/12/2020,001/2536,กองทุนเปิดรุ่งโรจน์หนึ่ง,RRF1,-,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),จ่าย,2.33,1.07,0.0856,0.107,ไม่มี,ไม่มี,1.07,1,1,ไม่มี,ไม่มี,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,ตามที่จ่ายจริง,1.5,1.07,0.02,0.107,0,0,0.3,0.5,ไม่เก็บ,ไม่มี,ไม่มี,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,ตามที่จ่ายจริง,http://market.sec.or.th/public/idisc/th/Download/fund/RRF1
31/12/2020,008/2535,กองทุนเปิดธนชาตเพิ่มพูนทรัพย์ปันผล,T-PPSD,-,บริษัทหลักทรัพย์จัดการกองทุน ธนชาต จำกัด,จ่าย,2.949,1.18,0.065,0.161,ไม่มี,ไม่มี,1.07,1.07,1.07,1.07,1.07,53.5,บาทต่อหน่วยลงทุน 1000.00 หน่วยหรือเศษของ 1000.00 หน่วย,ไม่มี,,1.526,1.179,0.021,0.16,,,0.174,0.535,ยกเว้น,,,,,ตามที่นายทะเบียนเรียกเก็บ,,http://market.sec.or.th/public/idisc/th/Download/fund/T-PPSD
31/12/2020,002/2535,กองทุนเปิดเค หุ้นทุน,K-EQUITY,-,บริษัทหลักทรัพย์จัดการกองทุน กสิกรไทย จำกัด,จ่าย,3.2796,2.0063,0.0749,0.1284,ไม่มี,ไม่มี,1.07,2,1,มีแบบหลายเงื่อนไข ดูรายละเอียดเพิ่มเติม,มีแบบหลายเงื่อนไข ดูรายละเอียดเพิ่มเติม,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,ตามที่จ่ายจริง,2.1975,2.0063,0.0428,0.1284,,,0.02,1,0,,,,,,,http://market.sec.or.th/public/idisc/th/Download/fund/K-EQUITY
12/1/2021,026/2536,กองทุนเปิด กำไรเพิ่มพูน,KPLUS,-,บริษัทหลักทรัพย์จัดการกองทุน ยูโอบี (ประเทศไทย) จำกัด,จ่าย,4.28,1.3375,0.1177,0.1284,ไม่มี,ไม่มี,2.6964,1,1,,,10,บาทต่อหน่วยลงทุน 500.00 หน่วยหรือเศษของ 500.00 หน่วย,50,ตามที่จ่ายจริง,1.521,1.3375,0.0214,0.1284,ไม่มี,ไม่มี,0.0337,ยกเว้น*,ยกเว้น*,ไม่มี,ไม่มี,10,บาทต่อหน่วยลงทุน 500 หน่วยหรือเศษของ 500 หน่วย,50 บาทต่อรายการ,ตามที่จ่ายจริง,http://market.sec.or.th/public/idisc/th/Download/fund/KPLUS
31/12/2020,006/2537,กองทุนเปิดธนชาตเจริญทรัพย์ปันผล,T-CSD,-,บริษัทหลักทรัพย์จัดการกองทุน ธนชาต จำกัด,จ่าย,2.949,1.297,0.107,0.161,ไม่มี,ไม่มี,1.07,1.07,1.07,1.07,1.07,53.5,บาทต่อหน่วยลงทุน 1000.00 หน่วยหรือเศษของ 1000.00 หน่วย,ไม่มี,,1.468,1.296,0.022,0.08,,,0.04,0.535,ยกเว้น,เท่ากับค่าธรรมเนียมในการขายและรับซื้อคืนหน่วยลงทุน,เท่ากับค่าธรรมเนียมในการขายและรับซื้อคืนหน่วยลงทุน,,,ตามที่นายทะเบียนเรียกเก็บ,,http://market.sec.or.th/public/idisc/th/Download/fund/T-CSD
31/12/2020,018/2536,กองทุนเปิดเค ซีเล็คท์ หุ้นทุน,K-SELECT,-,บริษัทหลักทรัพย์จัดการกองทุน กสิกรไทย จำกัด,จ่าย,3.3652,2.0063,0.107,0.1284,ไม่มี,ไม่มี,1.07,2,1,มีแบบหลายเงื่อนไข ดูรายละเอียดเพิ่มเติม,มีแบบหลายเงื่อนไข ดูรายละเอียดเพิ่มเติม,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,ตามที่จ่ายจริง,2.2075,2.0063,0.0428,0.1284,,,0.03,1,0,,,,,,,http://market.sec.or.th/public/idisc/th/Download/fund/K-SELECT
20/1/2021,024/2536,กองทุนเปิดสหธนาคารเอกปันผล 3,ONE-UB 3,-,บริษัทหลักทรัพย์จัดการกองทุน วรรณ จำกัด,จ่าย,6.42,2.04798,0.1177,0.14766,ไม่มี,ไม่มี,4.10666,2.14,1.07,1.07,2.14,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,ตามที่จ่ายจริง,2.2149,2.04798,0.0321,0.13482,,,ตามทีจ่ายจริง,1.07,0,1.07,0,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,ตามที่จ่ายจริง,http://market.sec.or.th/public/idisc/th/Download/fund/ONE-UB 3
